25/07/2024 DAY 
100FNF745497
100FNEY45497
100FNEW45497
100FNFC45497
100FNFD45497
100FNFF45497
100FNF045497
100FNF645497
100FNF945497
100FNF845497
100FND245497
100FNEX45497
100FNFG45497
100FNBK45497
100FNBI45497
100FNFK45497
100FNFI45497
100FNFE45497
100FNEZ45497
100FNFB45497
100FNFA45497
100FNET45497
100FNCA45497
100FNEU45497
100FNEV45497
 100FNCY45497
100FNCJ45497
100FNCL45497
100FNCH45497
100FNC045497
100FNC145497
100FNBP45497
100FNC545497
100FNBU45497
100FNBW45497
100FNBL45497
100FNBO45497
100FNBM45497
100FNBX45497
100FNC845497
100FNC645497
100FNBT45497
100FNBS45497
100FNC445497
100FNCG45497
100FNCM45497
100FNBN45497
100FNCK45497
100FNC945497
100FND645497
100FNCV45497
100FND845497
100FNCC45497
100FNCZ45497
100FNCX45497
100FNBY45497
100FNBR45497
100FNBQ45497
100FNC745497
100FND745497
100FND945497
100FNCD45497
100FNCW45497
100FNCE45497
100FNCF45497
100FNDA45497
100FNDC45497
100FNCT45497
100FND445497
100FNDB45497
100FNDJ45497
100FNDE45497
100FNDI45497
100FNDG45497
100FNEO45497
100FNAQ45497
100FNCO45497
100FND045497
100FNCN45497
100FND545497
100FNCU45497
100FNDD45497
100FNDF45497
100FNF545497
100FNDH45497
100FNEP45497
100FNES45497
100FNAR45497
100FNB345497
100FNB245497
100FNAP45497
100FNAY45497
100FNAX45497
100FNB945497
100FNB845497
100FND145497
100FNAN45497
100FNB145497
100FNAV45497
100FNB745497
100FNCP45497
100FNAC45497
100FNAD45497
100FNAO45497
100FNE945497
100FNDK45497
100FNBH45497
100FNDP45497
100FNC345497
100FNAS45497
100FNEM45497
100FNB645497
100FNEN45497
100FNEL45497
100FNEJ45497
100FNEG45497
100FNEF45497
100FNEE45497
100FNAF45497
100FNE645497
100FNDT45497
100FNDS45497
100FNE245497
100FNE045497
100FNBG45497
100FNDX45497
100FNDV45497
100FNE745497
100FNDR45497
100FNE345497
100FNAT45497
100FNDW45497
100FNE145497
100FNE845497
100FNEK45497
100FNEI45497
100FNEH45497
100FNED45497
100FNB445497
100FNAE45497
100FNB545497
100FNE545497
100FNE445497
100FNDO45497
100FNDU45497
100FNA345497
100FNDL45497
100FNA245497
100FNAJ45497
100FNAI45497
100FNAH45497
100FNAG45497
100FNDZ45497
100FNDY45497
100FNLP45497
100FNA445497
100FNA045497
100FNA145497
100FNLR45497
100FNM345497
100FNLQ45497
100FNM245497
100FNM145497
100FNBF45497
100FNA645497
100FNBE45497
100FNBD45497
100FNBC45497
100FNBA45497
100FNBB45497
100FNAZ45497
100FNDN45497
100FNDM45497
100FNA845497
100FNAM45497
100FNAL45497
100FNAK45497
100FNAB45497
100FNA545497
100FNA745497
100FNCB45497
100FNF145497
100FNDQ45497
100FNF445497
100FNF345497
100FNFJ45497
100FNFL45497
100FNBJ45497
100FNFH45497
100FNCQ45497
100FNB045497
100FNEQ45497
100FND345497
100FNER45497
100FNBV45497
100FNCI45497
100FNEB45497
100FNEA45497
100FNEC45497
100FNC245497
100FNF245497
100FNCS45497
100FNCR45497
100FNAA45497


